file_name,route,format,dimensions,headline,cta,utm_content,status
artwork/final_png/meta_square_ai_workforce_v4.png,ai_workforce,meta_square,1080x1080,ลดงานซ้ำ / ด้วย AI ที่วัด ROI ได้,รับ AI Audit ฟรี,ai_workforce_v4,ready_for_review_v4
artwork/final_png/meta_portrait_ai_workforce_v4.png,ai_workforce,meta_portrait,1080x1350,ลดงานซ้ำ / ด้วย AI ที่วัด ROI ได้,รับ AI Audit ฟรี,ai_workforce_v4,ready_for_review_v4
artwork/final_png/meta_story_ai_workforce_v4.png,ai_workforce,meta_story,1080x1920,ลดงานซ้ำ / ด้วย AI ที่วัด ROI ได้,รับ AI Audit ฟรี,ai_workforce_v4,ready_for_review_v4
artwork/final_png/linkedin_wide_ai_workforce_v4.png,ai_workforce,linkedin_wide,1200x627,ลดงานซ้ำ / ด้วย AI ที่วัด ROI ได้,รับ AI Audit ฟรี,ai_workforce_v4,ready_for_review_v4
artwork/final_png/meta_square_seo_ready_v4.png,seo_ready,meta_square,1080x1080,เว็บใหม่ / ต้องพร้อมติด Google,ขอ SEO Audit ฟรี,seo_ready_v4,ready_for_review_v4
artwork/final_png/meta_portrait_seo_ready_v4.png,seo_ready,meta_portrait,1080x1350,เว็บใหม่ / ต้องพร้อมติด Google,ขอ SEO Audit ฟรี,seo_ready_v4,ready_for_review_v4
artwork/final_png/meta_story_seo_ready_v4.png,seo_ready,meta_story,1080x1920,เว็บใหม่ / ต้องพร้อมติด Google,ขอ SEO Audit ฟรี,seo_ready_v4,ready_for_review_v4
artwork/final_png/linkedin_wide_seo_ready_v4.png,seo_ready,linkedin_wide,1200x627,เว็บใหม่ / ต้องพร้อมติด Google,ขอ SEO Audit ฟรี,seo_ready_v4,ready_for_review_v4
artwork/final_png/meta_square_seo_recovery_v4.png,seo_recovery,meta_square,1080x1080,Traffic ตก? / ให้ทีมตรวจ SEO,รับ Audit ฟรี,seo_recovery_v4,ready_for_review_v4
artwork/final_png/meta_portrait_seo_recovery_v4.png,seo_recovery,meta_portrait,1080x1350,Traffic ตก? / ให้ทีมตรวจ SEO,รับ Audit ฟรี,seo_recovery_v4,ready_for_review_v4
artwork/final_png/meta_story_seo_recovery_v4.png,seo_recovery,meta_story,1080x1920,Traffic ตก? / ให้ทีมตรวจ SEO,รับ Audit ฟรี,seo_recovery_v4,ready_for_review_v4
artwork/final_png/linkedin_wide_seo_recovery_v4.png,seo_recovery,linkedin_wide,1200x627,Traffic ตก? / ให้ทีมตรวจ SEO,รับ Audit ฟรี,seo_recovery_v4,ready_for_review_v4
artwork/final_png/meta_square_cro_sprint_v4.png,cro_sprint,meta_square,1080x1080,มี Traffic / แต่ Lead ไม่มา?,ตรวจ Funnel ฟรี,cro_sprint_v4,ready_for_review_v4
artwork/final_png/meta_portrait_cro_sprint_v4.png,cro_sprint,meta_portrait,1080x1350,มี Traffic / แต่ Lead ไม่มา?,ตรวจ Funnel ฟรี,cro_sprint_v4,ready_for_review_v4
artwork/final_png/meta_story_cro_sprint_v4.png,cro_sprint,meta_story,1080x1920,มี Traffic / แต่ Lead ไม่มา?,ตรวจ Funnel ฟรี,cro_sprint_v4,ready_for_review_v4
artwork/final_png/linkedin_wide_cro_sprint_v4.png,cro_sprint,linkedin_wide,1200x627,มี Traffic / แต่ Lead ไม่มา?,ตรวจ Funnel ฟรี,cro_sprint_v4,ready_for_review_v4
artwork/final_png/meta_square_growth_bundle_v4.png,growth_bundle,meta_square,1080x1080,ทีมเดียวดูครบ / Traffic → Lead → AI,เริ่มด้วย Audit ฟรี,growth_bundle_v4,ready_for_review_v4
artwork/final_png/meta_portrait_growth_bundle_v4.png,growth_bundle,meta_portrait,1080x1350,ทีมเดียวดูครบ / Traffic → Lead → AI,เริ่มด้วย Audit ฟรี,growth_bundle_v4,ready_for_review_v4
artwork/final_png/meta_story_growth_bundle_v4.png,growth_bundle,meta_story,1080x1920,ทีมเดียวดูครบ / Traffic → Lead → AI,เริ่มด้วย Audit ฟรี,growth_bundle_v4,ready_for_review_v4
artwork/final_png/linkedin_wide_growth_bundle_v4.png,growth_bundle,linkedin_wide,1200x627,ทีมเดียวดูครบ / Traffic → Lead → AI,เริ่มด้วย Audit ฟรี,growth_bundle_v4,ready_for_review_v4
